Name ,Address ,Latitude,Longtitude,Type ,Latest Inspection Date,Type,Critical_Violation,Non_Critical_Violation,Total
     BABBO'S SPAGHETTERIA , 1305 GRINDSTONE PKWY #115 COLUMBIA 65201,38.912964,-92.321025,  RESTAURANT ,     12-23-2015  ,     ROUTINE  ,1,0,1
      BAMBOO TERRACE , 3103 W  BROADWAY COLUMBIA 65203,38.955688,-92.383829,  RESTAURANT  ,     3-14-2016  ,     ROUTINE  ,0,3,3
      BANDANAS , 3405   CLARK COLUMBIA 65202,38.964433,-92.286486,  RESTAURANT  ,     1-5-2016  ,     ROUTINE  ,0,0,0
      BANGKOK GARDENS , 811   CHERRY COLUMBIA 65201,38.950668,-92.328031,  RESTAURANT  ,     12-15-2015  ,     FOLLOW UP  ,0,0,0
      BARNES & NOBLE CAFE , 2208   BERNADETTE COLUMBIA 65203,38.965816,-92.374214,  RESTAURANT  ,     9-25-2015  ,     ROUTINE  ,0,0,0
      BBC II , 220 S  EIGHTH COLUMBIA 65201,38.948875,-92.328438,  RESTAURANT  ,     10-7-2014  ,     ROUTINE  ,1,1,2
      Be My Guest Asian Bistro , 1200 E. Walnut St. Ste. 102 Columbia 65201,38.952507,-92.324201,  RESTAURANT  ,     11-12-2015  ,     ROUTINE  ,0,1,1
      BEAN AROUND THE BLOCK , 202 CENTRAL COLUMBIA 65203,39.271517,-92.70107,  RESTAURANT  ,     12-14-2015  ,     ROUTINE  ,0,0,0
      BEELINE SNACK SHOP , 530 W Broadway Ashland 65010,38.774661,-92.268434,  RESTAURANT  ,     4-22-2016  ,     ROUTINE  ,0,0,0
      BENGALS BAR & GRILL , 227 S  SIXTH COLUMBIA 65201,38.94881,-92.331198,  RESTAURANT  ,     8-11-2015  ,     FOLLOW UP  ,0,0,0
     Big Daddy's BBQ , 1205 N Garth Columbia 65202,38.964291,-92.338634,  RESTAURANT ,     12-11-2015  ,     ROUTINE  ,0,1,1
      BILLIARDS ON BROADWAY , 514 E  BROADWAY COLUMBIA 65201,38.951275,-92.331241,  RESTAURANT  ,     2-11-2016  ,     ROUTINE  ,1,1,2
      BLACK HOG SALOON , 129 N ALLEN CENTRALIA 65240,39.212688,-92.138926,  RESTAURANT  ,     5-29-2015  ,     ROUTINE  ,1,0,1
      BLEU  , 811 E  WALNUT COLUMBIA 65201,38.952797,-92.328102,  RESTAURANT  ,     12-8-2015  ,     ROUTINE  ,1,1,2
      BOB EVANS FAMILY REST. , 3000   CLARK COLUMBIA 65202,38.962791,-92.293033,  RESTAURANT  ,     4-15-2016  ,     FOLLOW UP  ,0,0,0
      BOOCHES , 110 S  NINTH COLUMBIA 65201,38.950171,-92.327325,  RESTAURANT  ,     2-16-2016  ,     ROUTINE  ,0,0,0
      BOONE APPETIT CAFE , 1600 E  BROADWAY COLUMBIA 65201,38.94903,-92.315626,  RESTAURANT  ,     11-25-2015  ,     ROUTINE  ,0,0,0
      BOONE COUNTY BANK , 720 E  BROADWAY COLUMBIA 26324,38.951234,-92.328888,  RESTAURANT  ,     12-28-2015  ,     ROUTINE  ,0,1,1
      BOONE LANDING , 109 N  KEENE COLUMBIA 65201,38.953064,-92.290908,  RESTAURANT  ,     3-16-2016  ,     ROUTINE  ,1,1,2
      BOURBON STREET GRILL , 2300   BERNADETTE COLUMBIA 65203,38.963839,-92.375518,  RESTAURANT  ,     10-7-2015  ,     ROUTINE  ,0,0,0
      BOYS & GIRLS CLUB , 1200 N. Seventh COLUMBIA 65201,38.963425,-92.328807,  RESTAURANT  ,     2-19-2016  ,     ROUTINE  ,0,0,0
      BROADWAY BREWERY , 816 E  BROADWAY COLUMBIA 65201,38.951214,-92.327933,  RESTAURANT  ,     11-17-2015  ,     FOLLOW UP  ,0,0,0
      BROADWAY DINER , 22 S  FOURTH COLUMBIA 65201,38.951451,-92.332942,  RESTAURANT  ,     4-21-2016  ,     FOLLOW UP  ,0,0,0
      BUCKINGHAMS , 5614 E ST CHARLES RD STE E COLUMBIA 65203,38.961474,-92.251512,  RESTAURANT  ,     1-30-2015  ,     ROUTINE  ,0,0,0
     BUCKINGHAMS , 3804   BUTTONWOOD COLUMBIA 65201,38.90777,-92.33027,  RESTAURANT ,     12-14-2015  ,     ROUTINE  ,0,0,0
      BUFFALO WILD WINGS , 505 E  NIFONG COLUMBIA 65201,38.910205,-92.334464,  RESTAURANT  ,     2-24-2016  ,     ROUTINE  ,1,1,2
      BURGER KING , 415 CONLEY RD COLUMBIA 65203,38.954979,-92.296737,  RESTAURANT  ,     1-28-2016  ,     ROUTINE  ,1,0,1
      BURGER KING , 3700 HYDE PARK COLUMBIA 65203,38.909134,-92.328941,  RESTAURANT  ,     10-23-2015  ,     ROUTINE  ,0,2,2
      BURGER KING , 3400   CLARK COLUMBIA 65202,38.963468,-92.287236,  RESTAURANT  ,     10-22-2015  ,     ROUTINE  ,0,0,0
      BURGER KING , 100 E Business Loop COLUMBIA 65203,34.05771,-80.994837,  RESTAURANT  ,     4-26-2016  ,     ROUTINE  ,1,1,2
      BUZZ CAFE,106 N OGDEN STURGEON 65284,39.234721,-92.28054,  RESTAURANT  ,     12-17-2015  ,     ROUTINE  ,0,0,0
      CACC ROCKBRIDGE CULINARY , 4303 S  PROVIDENCE COLUMBIA 65203,38.901335,-92.336655,  RESTAURANT  ,     3-15-2016  ,     ROUTINE  ,1,0,1
      CAFE  BERLIN , 220 N  TENTH COLUMBIA 65201,38.954099,-92.325962,  RESTAURANT  ,     1-27-2016  ,     ROUTINE  ,0,2,2
      CAFE BERLIN KITCHEN #2 , 270 N. 10TH ST. COLUMBIA 65201,38.954351,-92.326352,  RESTAURANT  ,     1-27-2016  ,     ROUTINE  ,0,0,0
      CAFE POLAND , 807   LOCUST COLUMBIA 65201,38.949605,-92.328306,  RESTAURANT  ,     3-14-2016  ,     ROUTINE  ,1,0,1
      CAMPUS BAR & GRILL , 304 S  NINTH COLUMBIA 65201,38.948246,-92.327341,  RESTAURANT  ,     3-7-2016  ,     ROUTINE  ,1,5,6
      CAMPUS TOP DECK , 260 S  TENTH COLUMBIA 65201,38.948734,-92.326236,  RESTAURANT  ,     8-14-2014  ,     ROUTINE  ,0,1,1
     CARLITO'S , 12 E  BUSINESS LOOP 70 COLUMBIA 65203,38.964785,-92.337595,  RESTAURANT ,     3-18-2016  ,     ROUTINE  ,3,2,5
      CASABLANCA , 501   ELM COLUMBIA 65201,38.948802,-92.331665,  RESTAURANT  ,     10-20-2015  ,     ROUTINE  ,1,2,3
     CAT'S KITCHEN , 1802   PARIS COLUMBIA 65201,38.96443,-92.310492,  RESTAURANT ,     11-18-2015  ,     ROUTINE  ,1,1,2
      CCS CITY BROILER , 1401   FORUM COLUMBIA 65203,38.935789,-92.361245,  RESTAURANT  ,     11-6-2015  ,     ROUTINE  ,0,0,0
      CENTRALIA GOLF & SOCIAL C , 1401 E HWY 22 CENTRALIA 65240,39.210652,-92.11966,  RESTAURANT  ,     3-16-2016  ,     ROUTINE  ,0,0,0
      CENTRALIA RECREATION CTR , 802 W LAKEVIEW CENTRALIA 65240,39.204534,-92.146771,  RESTAURANT  ,     2-11-2016  ,     ROUTINE  ,0,0,0
     CHARLEY'S STEAKERY , 2300   BERNADETTE COLUMBIA 65203,38.963839,-92.375518,  RESTAURANT ,     2-9-2016  ,     ROUTINE  ,2,0,2
     CHEDDAR'S CASUAL CAFE , 1010   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.965368,-92.352969,  RESTAURANT ,     2-4-2016  ,     ROUTINE  ,1,0,1
      CHEERLEADER PUB & GRILL , 1400   CINNAMON HILL COLUMBIA 65201,38.933237,-92.290825,  RESTAURANT  ,     1-28-2016  ,     ROUTINE  ,0,1,1
      CHICK-FIL-A , 305 N. STADIUM BLVD. COLUMBIA 65203,38.959409,-92.372186,  RESTAURANT  ,     3-31-2016  ,     ROUTINE  ,0,0,0
     CHILI'S GRILL & BAR , 41   CONLEY COLUMBIA 65201,38.949987,-92.294395,  RESTAURANT ,     4-1-2016  ,     ROUTINE  ,3,1,4
      CHIM THAI RESTAURANT , 11505 Smith Hatchery Road COLUMBIA 65203,38.818438,-92.385264,  RESTAURANT  ,     4-15-2016  ,     ROUTINE  ,1,2,3
     CHIM'S THAI , 201 N  TENTH COLUMBIA 65201,38.953742,-92.326583,  RESTAURANT ,     3-23-2015  ,     ROUTINE  ,2,1,3
     CHIM'S THAI KITCHEN , 3907   PEACHTREE COLUMBIA 65203,38.907864,-92.338668,  RESTAURANT ,     7-29-2015  ,     ROUTINE  ,0,1,1
      CHINA CHEF , 27   CONLEY COLUMBIA 65201,38.950574,-92.296173,  RESTAURANT  ,     3-28-2016  ,     ROUTINE  ,0,4,4
      CHINA GARDEN , 3420   CLARK COLUMBIA 65202,38.963543,-92.286265,  RESTAURANT  ,     4-5-2016  ,     FOLLOW UP  ,0,0,0
      CHINA KING , 420 W HIGHWAY 22 CENTRALIA 65240,39.218653,-92.139771,  RESTAURANT  ,     11-17-2015  ,     ROUTINE  ,2,1,3
      CHINA KITCHEN , 503 E  NIFONG COLUMBIA 65201,38.911751,-92.332502,  RESTAURANT  ,     3-21-2016  ,     ROUTINE  ,6,5,11
      CHINA STAR , 3301   BROADWAY BUSINESS PARK COLUMBIA 65203,38.95477,-92.386239,  RESTAURANT  ,     3-14-2016  ,     ROUTINE  ,1,2,3
      CHINESE WOK EXPRESS , 422 E  BROADWAY COLUMBIA 65201,38.951335,-92.332056,  RESTAURANT  ,     2-8-2016  ,     ROUTINE  ,5,9,14
      CHIPOTLE MEXICAN GRILL , 306 S  NINTH COLUMBIA 65201,38.947975,-92.327373,  RESTAURANT  ,     4-1-2016  ,     ROUTINE  ,0,0,0
      CHIPOTLE MEXICAN GRILL , 2540   BROADWAY BLUFFS COLUMBIA 65201,38.9476,-92.299956,  RESTAURANT  ,     2-17-2016  ,     ROUTINE  ,0,0,0
      CHRIS MCDS , 1400 FORUM BLVD COLUMBIA 65203,38.936674,-92.359122,  RESTAURANT  ,     4-28-2016  ,     ROUTINE  ,0,1,1
      CHUCK E. CHEESE , 2003 W WORLEY ST COLUMBIA 65203,38.961462,-92.369524,  RESTAURANT  ,     1-29-2016  ,     ROUTINE  ,0,0,0
     CHURCH'S CHICKEN , 308 W BUSINESS LOOP 70 COLUMBIA 65203,38.965344,-92.342829,  RESTAURANT ,     12-28-2015  ,     ROUTINE  ,0,0,0
     CICI'S PIZZA , 2609 E BROADWAY STE 2161 COLUMBIA 65203,38.954433,-92.377319,  RESTAURANT ,     3-3-2016  ,     FOLLOW UP  ,0,0,0
     CJ'S , 704 E BROADWAY COLUMBIA 65201,38.951222,-92.329421,  RESTAURANT ,     2-24-2016  ,     ROUTINE  ,0,0,0
      CLAYSVILLE STORE , 5650 E Claysville Road Hartsburg 65039,38.661369,-92.258137,  RESTAURANT  ,     4-29-2016  ,     ROUTINE  ,0,0,0
      COFFEE ZONE, 11 N  NINTH COLUMBIA 65201,38.952001,-92.327827,  RESTAURANT  ,     3-22-2016  ,     ROUTINE  ,2,0,2
     COLEY'S , 15 S  SIXTH COLUMBIA 65201,38.951141,-92.330959,  RESTAURANT ,     12-30-2015  ,     ROUTINE  ,0,0,0
      COLUMBIA COMMUNITY MONTES , 808   KING COLUMBIA 65203,38.961059,-92.334833,  RESTAURANT  ,     5-12-2015  ,     ROUTINE  ,0,0,0
      COLUMBIA COUNTRY CLUB DN , 2210   COUNTRY CLUB COLUMBIA 65201,38.957912,-92.305398,  RESTAURANT  ,     2-2-2016  ,     ROUTINE  ,1,0,1
      COLUMBIA COUNTRY CLUB UP , 2210   COUNTRY CLUB COLUMBIA 65201,38.957912,-92.305398,  RESTAURANT  ,     2-2-2016  ,     ROUTINE  ,0,0,0
      COMEDOR POPULAR , 609 N  GARTH COLUMBIA 65203,38.959425,-92.339014,  RESTAURANT  ,     11-20-2015  ,     ROUTINE  ,0,0,0
      COMO DOUGH , 701 W  BUSINESS LOOP 70 COLUMBIA 65203,38.966329,-92.346939,  RESTAURANT  ,     4-1-2015  ,     ROUTINE  ,1,0,1
      COMO SMOKE AND FIRE , 4600   PARIS COLUMBIA 65202,38.997876,-92.279404,  RESTAURANT  ,     3-15-2016  ,     ROUTINE  ,1,0,1
      COPPER KETTLE , 508 E LIBERTY LN ASHLAND 65010,38.76766,-92.254769,  RESTAURANT  ,     12-18-2015  ,     ROUTINE  ,0,2,2
      CORNERSTONE COFFEE SHOP , 204 S  NINTH COLUMBIA 65201,38.949143,-92.327111,  RESTAURANT  ,     12-14-2015  ,     ROUTINE  ,0,0,0
      COSMO CLUB , 1715   BURLINGTON COLUMBIA 65202,38.970073,-92.31047,  RESTAURANT  ,     10-7-2015  ,     ROUTINE  ,0,0,0
COUGAR CAFE / AMERISERVE , 1001   ROGERS COLUMBIA 65201,38.956576,-92.326261,  RESTAURANT ,    12-4-2015 ,    ROUTINE ,0,0,0
   COUNTRY CLUB OF MISSOURI , 1300   WOODRAIL COLUMBIA 65203,38.916127,-92.358878,  RESTAURANT ,    12-2-2015 ,    ROUTINE ,0,0,0
   COUNTRY KITCHEN , 1712 N  PROVIDENCE COLUMBIA 65202,38.970925,-92.333258,  RESTAURANT ,    2-10-2016 ,    ROUTINE ,2,5,7
   CRACKER BARREL , 3304     CLARK COLUMBIA 65202,38.963071,-92.288329,  RESTAURANT ,    4-25-2016 ,    ROUTINE ,0,4,4
   CULINARY CONNECTION , 124 E  NIFONG COLUMBIA 65203,38.908783,-92.337004,  RESTAURANT ,    4-22-2016 ,    ROUTINE ,0,0,0
   CULVERS , 2520   BROADWAY BLUFFS COLUMBIA 65201,38.947352,-92.300557,  RESTAURANT ,    3-16-2016 ,    ROUTINE ,2,0,2
   CURRIES , 2518 E  BUSINESS LOOP 70 COLUMBIA 65201,38.963774,-92.304922,  RESTAURANT ,    6-30-2015 ,    ROUTINE ,0,3,3
   D&D; PUB & GRUB , 4600   PARIS COLUMBIA 65202,38.997876,-92.279404,  RESTAURANT ,    12-11-2014 ,    ROUTINE ,0,2,2
   D&D; PUB & GRUB , 6307   LEUPOLD COLUMBIA 65202,39.019501,-92.273246,  RESTAURANT ,    3-9-2016 ,    ROUTINE ,1,2,3
   DAIRY QUEEN/ORANGE JULIUS , 2300 BERNADETTE DR STE 714 COLUMBIA 65203,38.963839,-92.375518,  RESTAURANT ,    3-7-2016 ,    ROUTINE ,0,0,0
   DEER PARK BREAKTIME , 6050 E AB HWY COLUMBIA 65201,38.86081,-92.248719,  RESTAURANT ,    2-17-2016 ,    ROUTINE ,0,0,0
    DENNY'S , 1100   KNIPP COLUMBIA 65203,38.966327,-92.371844,  RESTAURANT  ,    1-11-2016 ,    FOLLOW UP ,0,0,0
   DICKEYS , 1412   FORUM COLUMBIA 65203,38.935409,-92.360018,  RESTAURANT ,    3-4-2016 ,    ROUTINE ,0,1,1
   DOCS HOT SHAKES , 124 E. NIFONG COLUMBIA 65203,38.908783,-92.337004,  RESTAURANT ,    12-23-2015 ,    ROUTINE ,0,0,0
   DOMINOS , 1621   TOWNE COLUMBIA 65202,38.969696,-92.304028,  RESTAURANT ,    1-27-2016 ,    ROUTINE ,0,1,1
   DOMINOS , 3102   GREEN MEADOWS COLUMBIA 65203,38.917014,-92.336559,  RESTAURANT ,    1-25-2016 ,    ROUTINE ,0,0,0
   DOMINOS , 416 S   NINTH                     COLUMBIA 65201,38.946699,-92.327315,  RESTAURANT ,    2-24-2016 ,    ROUTINE ,1,1,2
   DOMINOS , 1500   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.964096,-92.360883,  RESTAURANT ,    1-7-2016 ,    ROUTINE ,1,2,3
   DOS ARCOS , 150 HIGHWAY 22 CENTRALIA 65240,39.218566,-92.136408,  RESTAURANT ,    12-21-2015 ,    ROUTINE ,2,4,6
    DOTTY'S CAFE , 35 E. MAIN ST. HARTSBURG 65039,38.695568,-92.30993,  RESTAURANT  ,    4-28-2016 ,    ROUTINE ,1,1,2
   DOUBLE TREE , 1111 E  BROADWAY COLUMBIA 65201,38.951801,-92.324653,  RESTAURANT ,    3-23-2016 ,    ROUTINE ,1,3,4
   DQ GRILL & CHILL (BUS LOOP), 700 E  BUSINESS LOOP 70 COLUMBIA 65201,38.963748,-92.32898,  RESTAURANT ,    4-18-2016 ,    FOLLOW UP ,0,0,0
   DQ GRILL & CHILL ( FORUM) , 1201   FORUM COLUMBIA 6520,38.937632,-92.36011,  RESTAURANT ,    4-21-2016 ,    ROUTINE ,1,1,2
    D ROWES , 1005   CLUB VILLAGE COLUMBIA 65203,38.91038,-92.354869,  RESTAURANT  ,    2-3-2016 ,    ROUTINE ,2,1,3
   DRURY INN , 1000   KNIPP COLUMBIA 65203,38.965903,-92.372097,  RESTAURANT ,    3-4-2016 ,    ROUTINE ,2,1,3
   DUNKIN DONUTS/BASKIN ROBBINS , 3100 S. PROVIDENCE RD. COLUMBIA 65203,38.968659,-92.333721,  RESTAURANT ,    3-3-2016 ,    ROUTINE ,0,0,0
   DUNN BROS COFFEE , 1412   FORUM COLUMBIA 65203,38.935409,-92.360018,  RESTAURANT ,    10-5-2015 ,    FOLLOW UP ,0,0,0
   EAGLE SCOOP , 106 W BROADWAY ASHLAND 65010,38.774559,-92.262498,  RESTAURANT ,    9-24-2015 ,    ROUTINE ,1,0,1
   EL JIMADOR , 3200 PENN TERRACE #101 COLUMBIA 65202,38.965913,-92.285182,  RESTAURANT ,    1-8-2016 ,    FOLLOW UP ,0,1,1
   EL MAGUEY , 901 E  NIFONG COLUMBIA 65201,38.910055,-92.328957,  RESTAURANT ,    4-14-2016 ,    ROUTINE ,1,3,4
   EL RANCHO , 1014 E  BROADWAY COLUMBIA 65201,38.95122,-92.325922,  RESTAURANT ,    4-7-2016 ,    ROUTINE ,0,1,1
   EL TIGRE , 110 W  NIFONG COLUMBIA 65203,38.908225,-92.339846,  RESTAURANT ,    3-23-2016 ,    ROUTINE ,9,2,11
    ELK'S LODGE , 4747 E ELK PARK DR COLUMBIA 65201,38.934741,-92.2668,  RESTAURANT  ,    11-20-2015 ,    ROUTINE ,0,3,3
   EMPIRE ROLLER RINK , 1305 E  BUSINESS LOOP 70 COLUMBIA 65201,38.964779,-92.32077,  RESTAURANT ,    12-9-2015 ,    ROUTINE ,0,0,0
    ERNIE'S , 1005 E  WALNUT COLUMBIA 65201,38.95275,-92.325985,  RESTAURANT  ,    3-9-2016 ,    ROUTINE ,0,1,1
   FAIRFIELD INN , 2904     CLARK COLUMBIA 65202,38.962801,-92.293742,  RESTAURANT ,    2-3-2015 ,    ROUTINE ,2,0,2
   FAIRFIELD INN , 1115   WOODLAND SPRINGS COLUMBIA 65202,38.962424,-92.28561,  RESTAURANT ,    2-5-2016 ,    ROUTINE ,0,0,0
    FAZOLI'S , 1114   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.964231,-92.355707,  RESTAURANT  ,    3-11-2016 ,    ROUTINE ,0,1,1
FIREHOUSE SUBS, 2703 E. Broadway #125 Columbia 65201,38.94733,-92.296852,  RESTAURANT ,    3-11-2016 ,    ROUTINE ,0,0,0
   FIVE GUYS BURGERS & FRIES , 233 N  STADIUM COLUMBIA 65203,38.961113,-92.373851,  RESTAURANT ,    4-11-2016 ,    ROUTINE ,0,0,0
   FIVE GUYS BURGERS & FRIES , 2703 E  BROADWAY COLUMBIA 65201,38.94733,-92.296852,  RESTAURANT ,    3-21-2016 ,    ROUTINE ,0,0,0
   FLATBRANCH PUB & BREWERY , 115 S  FIFTH COLUMBIA 65201,38.950158,-92.332236,  RESTAURANT ,    1-29-2016 ,    ROUTINE ,0,1,1
   FORMOSA , 913 E  BROADWAY COLUMBIA 65201,38.951787,-92.327052,  RESTAURANT ,    12-28-2015 ,    FOLLOW UP ,0,0,0
   FORUM 8 THEATRE , 1209   FORUM KATY COLUMBIA 65203,38.934763,-92.357038,  RESTAURANT ,    4-11-2016 ,    ROUTINE ,1,0,1
   FRAMEWORKS , 901 N  OLD 63 COLUMBIA 65201,38.96086,-92.310477,  RESTAURANT ,    5-28-2015 ,    ROUTINE ,0,0,0
    FREDDY S FROZEN CUSTARD , 100 BRICKTON RD STE 110 COLUMBIA 65201,38.948073,-92.295314,  RESTAURANT  ,    1-15-2016 ,    ROUTINE ,1,0,1
   FREEBIRDS WORLD BURRITO , 6029 METCALF AVENUE COLUMBIA 65201,36.999918,-85.526116,  RESTAURANT ,    9-16-2014 ,    ROUTINE ,1,1,2
   FRETBOARD COFFEE , 1013 E  WALNUT COLUMBIA 65201,38.952791,-92.325848,  RESTAURANT ,    5-2-2016 ,    ROUTINE ,1,0,1
    FUDDRUCKER S , 1301 GRINDSTONE PKWY COLUMBIA 65201,38.912671,-92.321764,  RESTAURANT  ,    3-16-2016 ,    ROUTINE ,0,3,3
 FUJISAN, 101 CONLEY RD. COLUMBIA 65201,38.951509,-92.29659,  RESTAURANT ,    2-2-2016 ,    ROUTINE ,1,1,2
   G&D; FAMILY STEAKHOUSE , 2001 W WORLEY ST COLUMBIA 65203,38.962846,-92.369741,  RESTAURANT ,    3-14-2016 ,    ROUTINE ,0,0,0
   G&D; PIZZA AND STEAK , 2101 W BROADWAY COLUMBIA 65203,38.954523,-92.372131,  RESTAURANT ,    3-30-2016 ,    ROUTINE ,2,0,2
   GARDEN CONFERENCE CENTER , 3200 VANDIVER DR STE 10 COLUMBIA 65202,38.974471,-92.290739,  RESTAURANT ,    1-29-2016 ,    ROUTINE ,1,0,1
   GEISHA SUSHI BAR , 804 E BROADWAY STE C COLUMBIA 65201,38.951161,-92.328373,  RESTAURANT ,    4-11-2016 ,    ROUTINE ,2,7,9
    GEORGE S PIZZA & STEAK , 5695 E CLARK LN COLUMBIA 65202,38.963676,-92.252152,  RESTAURANT  ,    10-26-2015 ,    ROUTINE ,1,1,2
    GLENN'S CAFE , 29 S  EIGHTH COLUMBIA 65201,38.950662,-92.328991,  RESTAURANT  ,    4-25-2016 ,    ROUTINE ,1,3,4
   GOING BONKERS , 3812   BUTTONWOOD COLUMBIA 65201,38.907009,-92.33037,  RESTAURANT ,    1-21-2016 ,    ROUTINE ,1,0,1
   GOLDEN CORRAL , 3421   CLARK COLUMBIA 65202,38.96448,-92.285027,  RESTAURANT ,    2-26-2016 ,    ROUTINE ,0,0,0
   GOPO , 124 E  NIFONG COLUMBIA 65203,38.908783,-92.337004,  RESTAURANT ,    12-23-2015 ,    ROUTINE ,0,0,0
   GRAND CRU , 2600 S  PROVIDENCE COLUMBIA 65201,38.92197,-92.335299,  RESTAURANT ,    3-17-2016 ,    ROUTINE ,1,0,1
   GREAT CIRCLE , 4504 BEARFIELD COLUMBIA 65202,38.898484,-92.304354,  RESTAURANT ,    3-17-2016 ,    ROUTINE ,0,0,0
   GRILL ONE 5 , 15 S  SIXTH COLUMBIA 65201,38.951141,-92.330959,  RESTAURANT ,    10-14-2014 ,    ROUTINE ,2,0,2
    GUMBY'S , 912   RAIN FOREST COLUMBIA 65202,38.988522,-92.325312,  RESTAURANT  ,    10-2-2015 ,    ROUTINE ,0,0,0
    GUMBY'S PIZZA , 1201 E  BROADWAY COLUMBIA 65201,38.951731,-92.324071,  RESTAURANT  ,    11-10-2015 ,    ROUTINE ,0,0,0
   GUNTER HANS , 7   HITT COLUMBIA 65201,38.951022,-92.32579,  RESTAURANT ,    5-2-2016 ,    FOLLOW UP ,0,0,0
   HAMPTON INN , 3410   CLARK COLUMBIA 65202,38.962883,-92.287366,  RESTAURANT ,    2-5-2016 ,    ROUTINE ,1,1,2
   HARAMBEE , 703 N. 8th St. COLUMBIA 65201,38.958911,-92.328279,  RESTAURANT ,    12-23-2015 ,    ROUTINE ,1,0,1
   HARDEES , 2020 W   WORLEY                    COLUMBIA 65203,38.960862,-92.370414,  RESTAURANT ,    3-31-2016 ,    ROUTINE ,2,4,6
